Date,Hour,Demand_MW,Total_Production_MW,Coal_MW,Hydrocarbons_MW,Water_MW,Nuclear_MW,Wind_MW,Solar_MW,Biomass_MW,Import_MW
1/1/2023,0,5214.4,5974.881667,879.0416667,1493.915,1232.618333,1409.915,916.7716667,9.79,31.875,-706.84
1/1/2023,1,5121.753333,5921.798333,879.145,1481.711667,1195.701667,1409.711667,889.8216667,33.28,31.565,-617.6516667
1/1/2023,2,5029.11,5868.711667,879.245,1469.508333,1158.788333,1409.508333,862.8733333,56.77,31.265,-528.4666667
1/1/2023,3,4936.468333,5815.628333,879.3483333,1457.305,1121.871667,1409.305,835.9233333,80.26333333,30.955,-439.28
1/1/2023,4,4843.82,5762.541667,879.4483333,1445.101667,1084.958333,1409.101667,808.975,103.755,30.655,-350.0933333
1/1/2023,5,4751.18,5709.458333,879.5516667,1432.898333,1048.041667,1408.898333,782.025,127.245,30.345,-260.9066667
1/1/2023,6,4658.531667,5656.371667,879.6516667,1420.695,1011.128333,1408.695,755.0766667,150.7366667,30.045,-171.72
1/1/2023,7,4565.89,5603.288333,879.755,1408.491667,974.2116667,1408.491667,728.1266667,174.23,29.735,-82.53333333
1/1/2023,8,4473.246667,5550.201667,879.855,1396.288333,937.2983333,1408.288333,701.1783333,197.72,29.435,6.651666667
1/1/2023,9,4380.6,5497.118333,879.9583333,1384.085,900.3816667,1408.085,674.2283333,221.21,29.125,95.84
1/1/2023,10,4345.366667,5474.75,880.315,1380.645,886.52,1407.963333,660.225,230.02,29.07,131.2533333
1/1/2023,11,4351.143333,5474.321667,880.855,1383.465,889.13,1407.895,655.4666667,228.34,29.18166667,128.26
1/1/2023,12,4356.916667,5473.893333,881.385,1386.285,891.735,1407.831667,650.71,226.6666667,29.3,125.27
1/1/2023,13,4362.693333,5473.465,881.925,1389.095,894.345,1407.765,645.95,224.99,29.41833333,122.2766667
1/1/2023,14,4368.466667,5473.035,882.465,1391.915,896.9516667,1407.7,641.1933333,223.31,29.53,119.2833333
1/1/2023,15,4374.243333,5472.606667,883.005,1394.735,899.56,1407.635,636.435,221.63,29.65,116.29
1/1/2023,16,4380.016667,5472.178333,883.535,1397.555,902.1666667,1407.57,631.6766667,219.95,29.765,113.2983333
1/1/2023,17,4385.793333,5471.75,884.075,1400.375,904.775,1407.505,626.92,218.2766667,29.88,110.305
1/1/2023,18,4391.566667,5471.321667,884.615,1403.195,907.385,1407.438333,622.1616667,216.6,30,107.3116667
1/1/2023,19,4397.343333,5470.893333,885.155,1406.008333,909.99,1407.375,617.4033333,214.92,30.11166667,104.32
1/1/2023,20,4403.116667,5470.465,885.685,1408.825,912.6,1407.306667,612.6466667,213.24,30.23,101.3283333
1/1/2023,21,4408.893333,5470.035,886.225,1411.645,915.205,1407.245,607.8883333,211.56,30.34833333,98.33333333
1/1/2023,22,4414.666667,5469.606667,886.765,1414.465,917.815,1407.175,603.13,209.8883333,30.46,95.34
