,Demand_MW_mean,Demand_MW_mean_ci_lower,Demand_MW_mean_ci_upper,Solar_MW_mean,Solar_MW_mean_ci_lower,Solar_MW_mean_ci_upper,Wind_MW_mean,Wind_MW_mean_ci_lower,Wind_MW_mean_ci_upper,Coal_MW_mean,Coal_MW_mean_ci_lower,Coal_MW_mean_ci_upper,Hydrocarbons_MW_mean,Hydrocarbons_MW_mean_ci_lower,Hydrocarbons_MW_mean_ci_upper,Water_MW_mean,Water_MW_mean_ci_lower,Water_MW_mean_ci_upper,Nuclear_MW_mean,Nuclear_MW_mean_ci_lower,Nuclear_MW_mean_ci_upper,Biomass_MW_mean,Biomass_MW_mean_ci_lower,Biomass_MW_mean_ci_upper,Import_Positive_MW_mean,Import_Positive_MW_mean_ci_lower,Import_Positive_MW_mean_ci_upper,Export_Positive_MW_mean,Export_Positive_MW_mean_ci_lower,Export_Positive_MW_mean_ci_upper
2024-01-01,6148.864347354845,5730.072249278885,6567.656445430806,129.4922987483963,41.76685615344641,217.2177413433462,536.7159262687452,0.0,1581.8290979639069,888.6106468516423,746.5786288311531,1030.6426648721315,1717.1831390439388,1534.0151525853187,1900.351125502559,2206.985448349909,1849.8560008700981,2564.1148958297194,1379.3683069386796,1238.5114156970424,1520.2251981803167,33.481901637706926,26.19537524017597,40.76842803523788,394.7613052280901,0.0,801.7598975828016,830.1114445831001,17.16418300340092,1643.0587061627994
2024-01-02,6360.688969997687,5749.040598602671,6972.337341392704,121.05837543624868,25.824632299870103,216.29211857262726,586.2294561938953,0.0,1751.3391934442107,929.7568065088744,755.6420130942089,1103.87159992354,1739.9562677425495,1489.4291098903773,1990.4834255947217,2178.7330572570486,1716.4479492198398,2641.0181652942574,1371.260514824232,1172.3632701787635,1570.1577594697003,34.82758262947103,24.748387444100374,44.90677781484169,406.43976130394424,0.0,865.7809444590777,656.770301328502,0.0,1599.9213532025008
2024-01-03,6469.771016805655,5722.339606107418,7217.202427503891,110.35437679333401,11.752845969612409,208.95590761705563,545.9420168881356,0.0,1741.8183673229425,952.9675874169199,769.3769808539114,1136.5581939799283,1701.7239412047143,1404.9374777635628,1998.5104046458657,2238.178716506746,1703.4034717301251,2772.9539612833664,1355.096074440482,1116.5168993555874,1593.6752495253766,34.99170130253145,23.03163699168946,46.951765613373446,335.182795952177,0.0,808.8930167253302,539.8297036429799,0.0,1524.237958784306
2024-01-04,6510.231002416936,5646.24792369744,7374.214081136432,119.97191591958699,19.872858418130733,220.07097342104325,493.2297362844713,0.0,1699.9072755503225,955.9885646503997,768.1168309795959,1143.8602983212036,1706.8837599294554,1373.4707251482687,2040.2967947106422,2219.523086253246,1627.3249982557068,2811.7211742507857,1354.2885362672298,1081.9051595877138,1626.6719129467458,37.44566116419074,24.127008764033445,50.76431356434803,320.51371505317854,0.0,798.9830337110143,504.45457160264044,0.0,1503.005592170647
2024-01-05,6428.60406810686,5458.3283328728285,7398.879803340891,112.25527091587811,10.41350009716983,214.0970417345864,541.0238954915959,0.0,1753.518780295788,928.3902733995726,737.639267865926,1119.1412789332194,1735.7537397192004,1369.4628286161142,2102.0446508222867,2314.4370191417293,1671.0608495493989,2957.8131887340596,1363.921107343611,1064.8971503998275,1662.9450642873946,37.73315057321817,23.38044379406665,52.085857352369686,171.99877200462586,0.0,652.4234064586625,594.9245790646914,0.0,1598.570294961551
2024-01-06,5967.001157438494,4908.2605612320785,7025.74175364491,114.5837404690131,11.585839984179358,217.58164095384683,469.0819221066639,0.0,1686.349200319034,913.0091637439635,719.8246924481457,1106.1936350397814,1701.2977356344525,1302.3414232174223,2100.2540480514826,2266.306990777942,1577.2569976752604,2955.3569838806234,1373.7025506729042,1050.316974042961,1697.0881273028474,36.9090590621201,21.716936595602228,52.10118152863797,53.2143129570756,0.0,534.6746491518136,778.1653771866864,0.0,1783.771847472642
2024-01-07,5440.269487676363,4290.778559511685,6589.76041584104,117.02457068368017,12.49035365180643,221.5587877155539,380.81565424991163,0.0,1603.2174240846343,875.1896012603949,679.7368289272715,1070.6423735935182,1649.9240267252915,1216.799177799337,2083.048875651246,2187.1421762826967,1454.8084914134283,2919.475861151965,1368.6208938623772,1025.170614192996,1712.0711735317584,35.198721049199854,19.271841469252635,51.12560062914707,0.0,0.0,464.85550383329854,996.2144979343066,0.0,2002.6537886634658
2024-01-08,6268.99451436788,5027.402072454999,7510.58695628076,124.97819317209925,17.83540050007906,232.12098584411945,345.36503695620314,0.0,1583.0578550092016,908.4809908579027,706.7613833290634,1110.200598386742,1763.995416531427,1301.348113167497,2226.642719895357,2212.607765401946,1428.2197582135668,2996.995772590325,1359.822429711623,996.0236019201013,1723.6212575031448,36.60064997707489,20.00892674088639,53.19237321326338,351.2290859180077,0.0,834.8407849225466,659.3237540982811,0.0,1672.0503287754432
2024-01-09,6490.636846379758,5153.703352932926,7827.5703398265905,116.57110215205489,7.387559821146553,225.75464448296322,359.05447689196126,0.0,1608.9107758480789,946.2332781717339,739.8130448184961,1152.6535115249717,1820.0955621703015,1326.9433361543613,2313.2477881862415,2234.9974862999197,1403.208512885768,3066.7864597140715,1345.8003445139288,964.8543163378449,1726.7463726900128,37.10104311051273,19.84529033291793,54.35679588810753,361.9836406906069,0.0,846.5138604994306,573.6061912133304,0.0,1588.916265654335
2024-01-10,6570.210719060818,5150.973774902139,7989.4476632194965,108.72403210970484,0.0,219.3613354173483,292.73617567112933,0.0,1554.7186075408279,965.7360853324819,755.9171310504192,1175.5550396145445,1825.513242976367,1302.9330979269703,2348.093388025764,2260.0921721776003,1385.0082349738702,3135.17610938133,1337.1389465433501,939.8953508428169,1734.3825422438833,36.14796532686945,18.207365511751142,54.088565141987765,295.4246081357311,0.0,780.6675505047541,488.38078232520803,0.0,1504.9044834095491
